"","Date","MaxTemp","MinTemp","GDDDaily","M800","M901","M1300","M1500","H102","B504","B505","P200"
"1","05/9/2022",83.3,54.68,18.99,18.99,18.99,NA,NA,NA,NA,NA,NA
"2","05/10/2022",90.14,68.36,27.18,46.17,46.17,27.18,27.18,NA,NA,NA,NA
"3","05/11/2022",90.32,66.02,26.01,72.18,72.18,53.19,53.19,26.01,NA,NA,NA
"4","05/12/2022",94.1,70.16,28.08,100.26,100.26,81.27,81.27,54.09,28.08,NA,NA
"5","05/13/2022",91.4,72.5,29.25,129.51,129.51,110.52,110.52,83.34,57.33,NA,NA
"6","05/14/2022",85.46,59,22.23,151.74,151.74,132.75,132.75,105.57,79.56,NA,NA
"7","05/15/2022",80.78,58.46,19.62,171.36,171.36,152.37,152.37,125.19,99.18,NA,NA
"8","05/16/2022",76.28,51.8,14.04,185.4,185.4,166.41,166.41,139.23,113.22,NA,NA
"9","05/17/2022",68.18,45.14,9.09,194.49,194.49,175.5,175.5,148.32,122.31,NA,NA
"10","05/18/2022",63.5,49.64,6.75,201.24,201.24,182.25,182.25,155.07,129.06,NA,NA
"11","05/19/2022",83.12,50.54,16.83,218.07,218.07,199.08,199.08,171.9,145.89,NA,NA
"12","05/20/2022",80.6,61.7,21.15,239.22,239.22,220.23,220.23,193.05,167.04,21.15,NA
"13","05/21/2022",62.78,46.04,6.39,245.61,245.61,226.62,226.62,199.44,173.43,27.54,NA
"14","05/22/2022",61.7,41.36,5.85,251.46,251.46,232.47,232.47,205.29,179.28,33.39,NA
"15","05/23/2022",62.6,35.6,6.3,257.76,257.76,238.77,238.77,211.59,185.58,39.69,NA
"16","05/24/2022",63.32,40.1,6.66,264.42,264.42,245.43,245.43,218.25,192.24,46.35,NA
"17","05/25/2022",60.44,50,5.22,269.64,269.64,250.65,250.65,223.47,197.46,51.57,NA
"18","05/26/2022",74.48,60.8,17.64,287.28,287.28,268.29,268.29,241.11,215.1,69.21,NA
"19","05/27/2022",70.88,53.78,12.33,299.61,299.61,280.62,280.62,253.44,227.43,81.54,NA
"20","05/28/2022",72.68,54.14,13.41,313.02,313.02,294.03,294.03,266.85,240.84,94.95,NA
"21","05/29/2022",85.46,60.44,22.95,335.97,335.97,316.98,316.98,289.8,263.79,117.9,NA
"22","05/30/2022",89.42,68.9,27.45,363.42,363.42,344.43,344.43,317.25,291.24,145.35,NA
"23","05/31/2022",86.18,73.4,29.7,393.12,393.12,374.13,374.13,346.95,320.94,175.05,NA
"24","06/01/2022",76.64,58.1,17.37,410.49,410.49,391.5,391.5,364.32,338.31,192.42,NA
"25","06/02/2022",75.92,49.1,12.96,423.45,423.45,404.46,404.46,377.28,351.27,205.38,NA
"26","06/03/2022",75.02,50.72,12.87,436.32,436.32,417.33,417.33,390.15,364.14,218.25,12.87
"27","06/04/2022",68,46.22,9,445.32,445.32,426.33,426.33,399.15,373.14,227.25,21.87
"28","06/05/2022",73.58,56.48,15.03,460.35,460.35,441.36,441.36,414.18,388.17,242.28,36.9
"29","06/06/2022",68.36,59,13.68,474.03,474.03,455.04,455.04,427.86,401.85,255.96,50.58
